PID,StudentName,Score,CID,TeamID,Left-Handed,Position,Aisle,PriorityScore
226578401,Kristin Paramo,4,81,21,False,N/A,False,0 of 0
986437258,Trinidad Lookabaugh,4,84,21,False,N/A,False,0 of 0
926333854,Kayleigh Defrank,2,83,21,False,N/A,False,0 of 0
552551647,Harvey Budzinski,4,88,22,False,N/A,True,1 of 1
606112548,Jayson Tindell,2,85,22,False,N/A,False,0 of 0
690138177,Pura Carbaugh,1,87,22,False,N/A,False,0 of 0
628908236,Kareen Kotter,1,86,22,False,N/A,False,0 of 0
386116241,Carson Mona,2,92,23,True,Back,False,1 of 2
179871752,Marietta Ferris,1,89,23,False,N/A,False,0 of 0
553038375,Luanne Ammons,2,90,23,False,N/A,False,0 of 0
513604135,Kathleen Dambrosio,4,91,23,False,N/A,False,0 of 0
879465215,Nancee Tavarez,2,96,24,True,N/A,True,2 of 2
669000702,Arie Layton,1,94,24,False,Back,False,1 of 1
737930139,Anton Wyant,1,93,24,False,Back,False,1 of 1
289392818,Buford Hadnot,1,95,24,False,Back,False,1 of 1
571720756,Bernadette Mojarro,4,97,25,False,Back,False,1 of 1
457319833,Bennett Valverde,2,99,25,False,Back,False,1 of 1
126437392,Carlyn Mundell,2,98,25,False,Back,False,1 of 1
112509862,Asia Lecuyer,3,100,25,False,Back,False,1 of 1
211474102,Lashaunda Qualey,2,101,26,True,Back,False,1 of 2
674299451,Babette Haller,1,102,26,False,Back,False,1 of 1
516192121,Hassan Texada,3,104,26,False,N/A,True,1 of 1
207722782,Alba Holtkamp,1,103,26,False,Back,False,1 of 1
557852594,Benny Bitton,3,108,27,False,Back,False,1 of 1
755796931,Georgina Trammel,3,105,27,True,N/A,False,0 of 1
353525130,Alida Meloy,2,107,27,False,Back,False,1 of 1
846244064,Bradford Flansburg,1,106,27,False,Back,False,1 of 1
