PID,StudentName,Score,CID,TeamID,Left-Handed,Position,Aisle,PriorityScore
516513488,Wade Mauch,2,41,11,False,N/A,False,2 of 2
897239232,Oda Lemanski,3,42,11,False,N/A,False,2 of 2
750544607,Temeka Twombly,3,44,11,False,N/A,False,2 of 2
111644500,Rosario Stouffer,4,46,12,False,N/A,False,2 of 2
301088429,Florencio Boerner,3,48,12,False,N/A,True,1 of 2
852307765,Nova Ellman,4,47,12,False,N/A,False,2 of 2
975977631,Tien Nordby,3,45,12,False,N/A,False,2 of 2
776772237,Norine Laurin,3,50,13,False,N/A,False,2 of 2
950120396,Sharron Humiston,2,51,13,False,N/A,False,2 of 2
755796931,Georgina Trammel,3,49,13,True,N/A,False,1 of 2
487518338,Eleonora Starks,3,52,13,False,Front,False,2 of 3
628908236,Kareen Kotter,1,55,14,False,N/A,False,2 of 2
123445823,Rebbeca Hoar,1,53,14,False,N/A,False,2 of 2
879465215,Nancee Tavarez,2,56,14,True,N/A,True,1 of 2
622098833,Vito Harkins,2,54,14,False,N/A,False,2 of 2
783734046,Yesenia Doke,3,57,15,False,N/A,False,2 of 2
888804968,Randa Pelton,4,58,15,False,N/A,False,2 of 2
688870449,Karena Dollins,4,60,15,False,N/A,False,2 of 2
657613045,Shela Sankey,1,59,15,False,N/A,False,2 of 2
635513771,Gonzalo Spurr,4,64,16,False,N/A,True,1 of 2
482599692,Shanell Donlon,3,63,16,False,N/A,False,2 of 2
571720756,Bernadette Mojarro,4,62,16,False,Back,False,2 of 3
257405976,Edie Mok,1,61,16,False,Front,False,2 of 3
158936623,Sabrina Duffer,1,65,17,False,N/A,False,2 of 2
357218168,Kalyn Brockway,4,66,17,False,N/A,False,2 of 2
963713988,Xavier Westbrook,3,68,17,False,N/A,False,2 of 2
126437392,Carlyn Mundell,2,67,17,False,Back,False,2 of 3
516192121,Hassan Texada,3,72,18,False,N/A,True,2 of 2
606112548,Jayson Tindell,2,70,18,False,N/A,False,2 of 2
179871752,Marietta Ferris,1,71,18,False,N/A,False,2 of 2
966798038,Reginald Chatterton,4,69,18,False,N/A,False,2 of 2
590178350,Tyree Auld,4,73,19,False,N/A,False,2 of 2
499591669,Julene Baumbach,2,76,19,False,N/A,False,2 of 2
923947618,Tiesha Mchaney,4,75,19,False,N/A,False,2 of 2
737930139,Anton Wyant,1,74,19,False,Back,False,2 of 3
552551647,Harvey Budzinski,4,80,20,False,N/A,True,1 of 2
193915114,Kerry Chittenden,1,77,20,False,N/A,False,2 of 2
533095552,Coralee Schlabach,1,78,20,False,Front,False,2 of 3
953777173,Trey Yother,1,83,21,False,N/A,False,2 of 2
986437258,Trinidad Lookabaugh,4,84,21,False,N/A,False,2 of 2
340800916,Sharika Zuccaro,2,81,21,False,N/A,False,2 of 2
560703027,Clelia Lozano,3,82,21,False,Front,False,2 of 3
790688714,Olene Lampron,1,85,22,False,N/A,False,2 of 2
844265975,Nathaniel Casella,1,88,22,True,N/A,True,1 of 2
112509862,Asia Lecuyer,3,87,22,False,Back,False,2 of 3
669000702,Arie Layton,1,86,22,False,Back,False,2 of 3
460669308,Polly Weidman,4,92,23,False,N/A,False,2 of 2
178283388,Vina Zerbe,2,89,23,False,N/A,False,2 of 2
904784008,Clotilde Volk,1,90,23,False,Front,False,2 of 3
652148276,Eusebio Leith,4,91,23,False,Front,False,2 of 3
838115277,Pam Windley,3,94,24,False,N/A,False,2 of 2
456801081,Tanesha Malek,2,93,24,False,N/A,False,2 of 2
386116241,Carson Mona,2,95,24,True,Back,False,2 of 3
268731979,Salina Schaefer,3,97,25,False,N/A,False,2 of 2
690138177,Pura Carbaugh,1,99,25,False,N/A,False,2 of 2
799876401,Jarod Arredondo,3,100,25,False,N/A,False,2 of 2
674299451,Babette Haller,1,98,25,False,Back,False,3 of 3
616530138,Nora Chasse,1,103,26,False,N/A,False,2 of 2
962461904,Shawana Patch,1,101,26,False,N/A,False,2 of 2
270989055,Gregory Pelayo,1,104,26,False,N/A,True,2 of 2
353525130,Alida Meloy,2,102,26,False,Back,False,3 of 3
615098445,Otto Vargas,4,108,27,False,N/A,False,2 of 2
880787703,Susann Mellen,4,107,27,False,N/A,False,2 of 2
690739419,Wallace Barron,1,106,27,False,N/A,False,2 of 2
174139337,Mercy Kreger,3,105,27,True,Front,False,1 of 3
